work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
2020,1,4,79833,0,2,2
2020,2,6,260000,0,0,0
2020,2,6,109024,50,2,1
2020,1,6,20000,0,0,0
2020,2,5,150000,50,2,2
2020,0,0,72000,100,2,2
2020,2,6,190000,100,2,0
2020,1,4,35735,50,1,2
2020,1,6,135000,100,2,2
2020,2,6,125000,50,2,0
2020,0,4,51321,0,2,0
2020,1,4,40481,0,1,2
2020,0,4,39916,0,2,1
2020,1,6,87000,100,2,2
2020,1,0,85000,100,2,2
2020,1,0,8000,50,0,2
2020,0,2,41689,100,0,0
2020,2,6,114047,100,2,0
2020,0,6,5707,50,1,1
2020,1,6,56000,100,2,1
2020,1,5,43331,0,1,1
2020,1,6,6072,100,1,2
2020,2,2,47899,50,1,2
2020,1,6,98000,0,2,1
2020,1,6,115000,0,0,2
2020,3,6,280911,100,2,2
2020,0,7,42000,50,2,2
2020,2,2,33511,0,1,0
2020,0,6,100000,100,2,2
2020,2,6,117104,50,2,2
2020,1,6,59303,100,2,0
2020,0,6,70000,100,2,2
2020,2,4,68428,100,2,2
2020,1,7,280911,0,2,1
2020,1,0,46759,50,2,2
2020,1,2,74130,50,2,2
2020,1,6,103000,100,2,2
2020,0,5,250000,50,2,2
2020,0,0,10000,100,0,0
2020,0,5,138000,100,2,0
2020,1,4,45760,100,2,0
2020,3,6,79833,50,1,2
2020,1,6,50180,0,1,1
2020,1,2,106000,100,2,2
2020,1,2,112872,50,2,2
2020,0,6,15966,100,2,0
2020,1,4,76958,100,2,0
2020,2,2,188000,100,2,2
2020,1,4,105000,100,2,2
2020,1,2,70139,50,2,2
2020,0,0,6072,0,1,0
2020,0,0,91000,100,2,2
2020,0,6,45896,50,2,0
2020,0,2,54742,100,2,2
2020,2,6,60000,100,2,0
2020,2,6,148261,100,2,1
2020,1,4,38776,100,1,1
2020,1,4,118000,100,2,1
2020,2,4,120000,50,2,2
2020,1,4,138350,100,2,1
2020,1,2,110000,100,2,2
2020,1,2,130800,100,2,1
2020,0,4,21669,50,0,0
2020,2,4,280911,100,2,2
2020,2,5,45618,100,1,0
2020,0,4,62726,50,2,0
2020,0,4,49268,0,2,0
2020,2,3,190200,100,2,1
2020,0,4,105000,100,2,0
2020,2,4,91237,0,2,0
2020,1,4,62726,50,0,0
2020,1,4,42197,50,2,0
2021,0,7,82528,50,2,2
2021,3,6,150000,100,2,2
2021,3,6,235000,100,2,2
2021,2,4,53192,50,2,2
2021,1,6,100000,100,2,1
2021,1,6,5409,50,1,1
2021,1,6,270000,100,2,2
2021,0,0,80000,100,2,1
2021,2,6,79197,100,2,2
2021,1,2,140000,100,2,2
2021,1,6,54238,50,2,2
2021,1,5,47282,100,1,0
2021,3,6,153667,100,1,2
2021,1,2,28476,100,1,2
2021,0,0,59102,50,2,1
2021,1,6,110000,100,2,2
2021,2,6,170000,100,2,2
2021,2,0,80000,100,2,0
2021,2,6,88654,100,2,2
2021,0,6,76833,100,2,0
2021,1,6,19609,100,1,2
2021,2,6,276000,0,2,2
2021,0,4,29751,50,1,2
2021,1,6,89294,50,2,2
2021,0,6,12000,100,2,0
2021,1,6,280911,100,2,2
2021,0,6,70000,100,2,1
2021,1,6,95746,100,2,0
2021,1,0,75000,0,2,2
2021,2,2,150000,100,2,2
2021,1,6,36259,50,2,2
2021,1,0,62000,0,2,2
2021,1,4,73000,0,2,2
2021,1,0,51519,50,2,2
2021,1,7,187442,100,2,2
2021,2,2,115000,100,2,0
2021,2,2,150000,100,2,1
2021,0,2,30428,100,1,2
2021,2,5,94564,50,2,2
2021,2,6,113476,100,2,1
2021,2,6,103160,100,2,0
2021,0,6,12000,100,2,1
2021,1,2,45391,100,2,2
2021,0,6,225000,100,2,2
2021,1,4,50000,100,0,2
2021,1,6,40189,100,1,1
2021,0,0,90000,100,2,0
2021,1,2,200000,100,2,2
2021,1,6,60000,50,1,1
2021,2,6,200000,100,2,1
2021,0,0,50000,100,2,1
2021,0,6,110037,0,2,2
2021,0,0,10354,50,1,1
2021,1,6,151000,100,2,2
2021,2,6,120000,50,2,0
2021,1,4,9466,0,1,0
2021,0,5,20000,100,1,0
2021,2,6,40570,50,1,2
2021,0,6,100000,50,0,0
2021,0,4,49646,50,2,1
2021,1,6,38400,100,2,1
2021,2,6,24000,100,1,1
2021,0,4,100000,0,2,0
2021,1,0,90000,100,2,1
2021,1,6,63711,50,0,0
2021,1,6,77364,50,0,0
2021,2,6,220000,0,2,2
2021,0,4,80000,100,2,1
2021,1,0,135000,100,2,2
2021,2,3,240000,0,2,2
2021,2,6,150000,0,2,2
2021,1,4,82500,100,2,0
2021,1,2,100000,100,2,2
2021,2,5,82744,50,2,1
2021,1,7,62649,50,2,1
2021,1,2,90000,100,2,2
2021,2,6,153000,100,2,2
2021,2,6,160000,100,2,0
2021,2,6,168000,0,0,0
2021,1,4,150000,100,2,1
2021,1,4,75774,100,2,2
2021,0,4,13400,100,1,2
2021,2,3,144000,100,2,2
2021,2,6,127221,50,2,2
2021,1,4,119059,100,0,1
2021,1,6,280911,50,2,2
2021,2,6,120000,100,2,1
2021,0,5,125000,100,2,0
2021,3,6,230000,50,1,2
2021,3,6,85000,0,1,1
2021,1,2,28369,50,0,2
2021,0,6,63831,50,2,2
2021,3,6,130026,50,2,1
2021,2,6,165000,100,2,2
2021,0,2,80000,100,2,2
2021,3,6,250000,0,2,2
2021,0,6,55000,50,2,0
2021,1,1,150000,100,2,2
2021,1,1,170000,100,2,2
2021,1,2,82528,100,2,2
2021,0,0,60000,100,2,0
2021,2,6,235000,100,2,2
2021,2,7,60757,50,1,2
2021,2,6,174000,100,2,2
2021,1,4,2859,0,1,0
2021,1,4,40038,100,0,2
2021,0,5,81000,50,2,0
2021,1,4,5679,100,2,0
2021,1,6,22611,0,1,2
2021,1,4,90734,50,2,2
2021,1,2,26005,0,2,2
2021,2,6,61896,50,2,2
2021,1,6,12000,50,0,1
2021,1,2,4000,100,0,1
2021,2,6,50000,100,2,1
2021,3,6,69741,100,1,0
2021,2,2,76833,50,2,0
2021,1,5,74000,50,0,0
2021,2,3,152000,100,2,2
2021,0,5,21844,50,0,1
2021,1,6,18000,0,0,0
2021,2,3,174000,100,2,2
2021,2,7,96113,50,2,2
2021,1,4,147000,50,2,2
2021,0,6,9272,100,0,0
2021,2,5,24342,100,1,2
2021,2,3,54094,50,2,2
2021,0,6,90000,100,2,0
2021,1,4,61467,50,2,1
2021,2,6,195000,100,2,1
2021,1,4,37825,100,1,2
2021,2,7,50000,100,2,0
